"Time"	"BTC / USD Denominated Closing Price"	"BTC / MVRV (Market Cap / Realized Market Cap)"	"BTC / 30 Day Volatility"	"BTC / 180 Day Volatility"
"2010-11-26"	0.2844	4.23141948	0.13002475137417063
"2010-11-27"	0.283	4.17587813	0.12884830884800924
"2010-11-28"	0.271358679135009	3.97931625	0.12843378644561743
"2010-11-29"	0.230559456458212	3.37289742	0.1321973774413988
"2010-11-30"	0.2082	3.0371558	0.13353489352221823
"2010-12-01"	0.2275	3.31113157	0.1344532387041249
"2010-12-02"	0.255	3.6445754	0.1358964172573224
"2010-12-03"	0.251060083576856	3.57134671	0.13595264688084485
"2010-12-04"	0.205000526008182	2.90733946	0.1376505855188845
"2010-12-05"	0.202850017533606	2.86401711	0.13557631119799024
"2010-12-06"	0.204	2.83306957	0.1065420991081856
"2010-12-07"	0.233420385739334	3.1967626	0.1067752560828169
"2010-12-08"	0.2388	3.24906898	0.08779726810629372
"2010-12-09"	0.199991694330801	2.71091675	0.09136582912289244
"2010-12-10"	0.204	2.7619015	0.09082401100583357
"2010-12-11"	0.228	3.07070131	0.0930754867594252
"2010-12-12"	0.219853611922852	2.94969685	0.0865733298407849
"2010-12-13"	0.227605236703682	3.03156879	0.08666427873432164
"2010-12-14"	0.24669	3.26966627	0.08806471741154077
"2010-12-15"	0.24	3.15229808	0.08793747241969646
"2010-12-16"	0.24996	3.26455554	0.0819516473196923
"2010-12-17"	0.242655815312683	3.15712017	0.08110134786060867
"2010-12-18"	0.241	3.11960091	0.07858699514562754
"2010-12-19"	0.2401	3.09706546	0.07826906369586581
"2010-12-20"	0.267	3.39996207	0.08078535020938629
"2010-12-21"	0.241436002337814	3.01272532	0.08270885121946456
"2010-12-22"	0.25	3.10757151	0.08279239963319483
"2010-12-23"	0.249970127995324	3.09503865	0.0827941147657957
"2010-12-24"	0.248	3.05891168	0.08279338577194977
"2010-12-25"	0.2499	3.06790542	0.08281390607140292
"2010-12-26"	0.264962127410871	3.23677185	0.08352831696629846
"2010-12-27"	0.264785388661601	3.21872427	0.08352741436422963
"2010-12-28"	0.281	3.39360976	0.08391354444609105
"2010-12-29"	0.3	3.55514947	0.0787109358513033
"2010-12-30"	0.3	3.53000117	0.07591367002010001
"2010-12-31"	0.3	3.51255257	0.07454726406903597
"2011-01-01"	0.3	3.49431915	0.071873962745215
"2011-01-02"	0.29997	3.46374621	0.0717736075809686
"2011-01-03"	0.295	3.38619201	0.06023875119612441
"2011-01-04"	0.29895	3.41744847	0.060086327889410124
"2011-01-05"	0.298916302162478	3.39994438	0.060119608919316905
"2011-01-06"	0.298	3.37409013	0.05557006040557043
"2011-01-07"	0.32	3.59662517	0.056702512960503666
"2011-01-08"	0.3229	3.60311438	0.044362827267252755
"2011-01-09"	0.323	3.58303029	0.04444726723655159
"2011-01-10"	0.32659	3.56790627	0.04058902783504416
"2011-01-11"	0.32659	3.47434474	0.03962629313431422
"2011-01-12"	0.318799621274109	3.37613389	0.03998067253489365
"2011-01-13"	0.3176	3.31520101	0.037848406463892474
"2011-01-14"	0.399990005844535	4.10741466	0.05490282414154422	0.08182511020788612
"2011-01-15"	0.386	3.93479597	0.0555327118907527	0.08172868204922876
"2011-01-16"	0.38679	3.89072744	0.05496248589488312	0.08147161902609429
