Time,BTC / USD Denominated Closing Price,BTC / MVRV (Market Cap / Realized Market Cap),BTC / 30 Day Volatility,BTC / 180 Day Volatility
22/06/2019,10685.29523,2.19688103,0.03535577,0.034396497
23/06/2019,10794.4277,2.2136737,0.035355042,0.033912702
24/06/2019,11004.20691,2.24706654,0.03539447,0.03392416
25/06/2019,11726.26383,2.37982686,0.034404017,0.033831843
26/06/2019,12863.46068,2.57176389,0.037573345,0.034006006
27/06/2019,11109.79784,2.21524309,0.047378396,0.035838477
28/06/2019,12358.20796,2.44168454,0.050553262,0.036611341
29/06/2019,11944.35155,2.35329242,0.05015259,0.036593825
30/06/2019,10842.61671,2.13021037,0.053753793,0.037343126
01/07/2019,10569.55173,2.07558255,0.054082922,0.037392395
02/07/2019,10766.08332,2.11000412,0.054053579,0.037311336
03/07/2019,11952.02489,2.33157806,0.054998768,0.038027744
04/07/2019,11177.01038,2.17425127,0.055041207,0.038405606
05/07/2019,10998.3991,2.13840364,0.055272906,0.03820097
06/07/2019,11208.2256,2.17712562,0.055221778,0.038193144
07/07/2019,11456.1836,2.22256119,0.055136094,0.038207527
08/07/2019,12319.62288,2.37905472,0.056054924,0.03852986
09/07/2019,12579.10762,2.41917807,0.055128068,0.037732841
10/07/2019,12106.78293,2.31328701,0.055724949,0.037878426
11/07/2019,11294.67803,2.15704038,0.0576398,0.03829617
12/07/2019,11813.32372,2.24857787,0.057886155,0.038303925
13/07/2019,11346.83715,2.15890911,0.058680494,0.038360435
14/07/2019,10283.07579,1.95875859,0.061314295,0.039084648
15/07/2019,10926.38027,2.07837284,0.062106128,0.039297595
16/07/2019,9471.140865,1.80452153,0.067805468,0.040837577
17/07/2019,9674.882461,1.84011447,0.067619075,0.040841694
18/07/2019,10679.89069,2.02312657,0.069597334,0.041414196
19/07/2019,10532.20273,1.9920017,0.069574589,0.041290299
20/07/2019,10862.64855,2.0519756,0.069613142,0.041328475
21/07/2019,10589.70649,1.99813946,0.069148739,0.041393719
22/07/2019,10318.56093,1.94697902,0.068485223,0.041450822
23/07/2019,9866.64894,1.86302934,0.068905317,0.041622686
24/07/2019,9792.787537,1.84274782,0.06878054,0.041630629
25/07/2019,9897.186786,1.86177246,0.067660506,0.041629113
26/07/2019,9836.696788,1.84937883,0.065070327,0.041630122
27/07/2019,9446.672052,1.7764295,0.060019723,0.041690198
28/07/2019,9529.788792,1.79184692,0.05627201,0.041671096
29/07/2019,9504.158916,1.75506806,0.056074884,0.041672868
30/07/2019,9589.109206,1.76975529,0.053543106,0.041660779
31/07/2019,10059.00402,1.85482085,0.054202225,0.04177758
01/08/2019,10400.30701,1.91516898,0.054461116,0.041827422
02/08/2019,10529.69445,1.93668955,0.050770521,0.041802132
03/08/2019,10810.42167,1.98633631,0.04963573,0.041825695
04/08/2019,10986.50893,2.0166431,0.049649131,0.041831725
05/08/2019,11790.02394,2.15209305,0.051201401,0.042064762
06/08/2019,11423.497,2.07763358,0.051404275,0.042156969
07/08/2019,11967.27355,2.16935722,0.050338282,0.041972232
08/08/2019,11938.23461,2.15713659,0.050169606,0.041976527
09/08/2019,11858.3411,2.13982687,0.049705994,0.041988258
10/08/2019,11303.73056,2.03923311,0.048826707,0.042156083
11/08/2019,11530.19524,2.07768124,0.048243484,0.042164574
12/08/2019,11384.69625,2.04944243,0.047725109,0.042182578
13/08/2019,10867.05476,1.95417056,0.044885542,0.042360153
14/08/2019,10024.37959,1.8019476,0.045906113,0.042851105
15/08/2019,10310.08587,1.85280853,0.03782066,0.042883493
16/08/2019,10373.3219,1.86332594,0.037666513,0.042882062
17/08/2019,10207.15556,1.83353888,0.033078459,0.042682633
18/08/2019,10331.30998,1.85527013,0.033082744,0.042685256
19/08/2019,10884.62977,1.95283046,0.033997677,0.04282644
20/08/2019,10771.39238,1.92992501,0.033718761,0.042827267
21/08/2019,10096.83022,1.80967076,0.035465048,0.04314157
22/08/2019,10119.71452,1.81392145,0.034475971,0.043062419
23/08/2019,10414.14417,1.85888092,0.034805103,0.042497168
24/08/2019,10147.08715,1.81099778,0.035134372,0.04255241
25/08/2019,10100.35678,1.8021966,0.03512511,0.04254924
26/08/2019,10362.64347,1.8474094,0.034510216,0.042574412
27/08/2019,10168.22157,1.81156248,0.034723045,0.04261025
28/08/2019,9724.799978,1.73309226,0.035752236,0.042773332
29/08/2019,9482.311735,1.69107373,0.036026935,0.042831691
30/08/2019,9577.678823,1.70811556,0.034926407,0.042823392
31/08/2019,9605.024461,1.71310224,0.034310816,0.042773503
01/09/2019,9762.936557,1.7403943,0.034377804,0.042712787
02/09/2019,10377.33838,1.84745992,0.035931213,0.042914771
03/09/2019,10618.78151,1.88765943,0.036067719,0.042933201
04/09/2019,10577.24108,1.87870879,0.033427443,0.042932671
05/09/2019,10580.1847,1.8773914,0.033011931,0.042923877
06/09/2019,10330.84973,1.81873604,0.031886307,0.042976476
07/09/2019,10494.50696,1.84632204,0.032106187,0.042959846
08/09/2019,10407.26566,1.83013043,0.032111812,0.042971526
09/09/2019,10332.46444,1.81652807,0.031050844,0.042978561
10/09/2019,10085.95192,1.77328813,0.030973945,0.043033733
11/09/2019,10142.14806,1.77786135,0.030985835,0.043030477
12/09/2019,10403.35997,1.82231036,0.030346595,0.043038071
13/09/2019,10345.33875,1.81108514,0.026426934,0.043037927
14/09/2019,10363.4529,1.813611,0.025930032,0.043037295
15/09/2019,10306.16967,1.80307986,0.025925255,0.043044791
16/09/2019,10257.82276,1.79436332,0.025766442,0.043050452
17/09/2019,10195.61118,1.78283665,0.02568993,0.043035807
18/09/2019,10161.31887,1.77473473,0.023691107,0.043039883
19/09/2019,10268.39263,1.79282081,0.023750626,0.043039516
20/09/2019,10170.12512,1.77523927,0.020630691,0.043049654
